block,cluster,parallel_rear_score,parallel_rear_unique_innovation_count,parallel_rear_all_innovations_count,min_dup_leaves,median_dup_leaves,max_dup_leaves
1158,53,73.9723262468236,2,46,1,1.0,1
1165,54,32.5772439704951,2,36,1,1.0,1
1190,55,1.5374089573093705,2,9,1,1.0,1
1215,56,0.16814256685014536,2,4,1,1.0,1
1216,48,0.6722519534913541,2,6,1,1.0,1
1217,56,1.3222123310266862,3,10,1,1.0,1
1218,56,2.2655025317367907,3,12,1,1.0,1
1219,50,1.593765141758858,5,13,1,1.0,1
1220,57,65.7440160912566,3,43,1,1.0,1
1222,57,69.83928273947029,3,43,1,1.0,1
1223,57,69.83928273947029,3,43,1,1.0,1
1238,58,15.68906634961604,2,24,1,1.0,1
1262,59,3.9870676376685585,2,13,1,1.0,1
1263,59,3.9870676376685585,2,13,1,1.0,1
1264,59,3.187428544349073,2,12,1,1.0,1
1276,60,3.5327699589994306,1,9,1,1.0,1
1277,60,3.5327699589994306,1,9,1,1.0,1
1284,61,3.0075866838476246,2,11,1,1.0,1
1285,27,10.542917974118499,2,17,1,1.0,1
1305,62,17.828919583097036,3,22,1,1.0,1
1306,62,17.828919583097036,3,22,1,1.0,1
1316,33,0.20237239162637724,3,6,1,1.0,1
1325,58,19.537758816512977,1,18,1,1.0,1
1331,63,1.2595624165625208,1,6,1,1.0,1
1358,64,24.447401047293802,3,24,1,1.0,1
1363,65,0.27690484935616155,1,3,1,1.0,1
1384,37,0.25929413990465533,1,3,1,1.0,1
1390,11,4.113828323996888,3,15,1,1.0,1
1395,66,75.60713861477974,3,47,1,1.0,1
1396,67,0.23200616826565518,1,3,1,1.0,1
1415,18,11.751773121361254,2,16,1,1.0,1
1437,68,27.96461480102935,6,41,1,1.0,1
1440,69,28.299545688489896,2,25,1,1.0,1
1450,70,2.0425353109061177,1,8,1,1.0,1
1455,18,10.642353117494423,4,24,1,1.0,1
1456,18,2.3531164427645717,1,10,1,1.0,1
1457,18,3.4642882659968466,1,11,1,1.0,1
1458,18,3.4642882659968466,1,11,1,1.0,1
1459,18,1.8947393047323673,1,9,1,1.0,1
1460,11,1.446449055026275,1,8,1,1.0,1
1474,9,11.068178515214091,2,20,1,1.0,1
1479,9,13.922671554685808,1,16,1,1.0,1
1484,11,8.522037676687681,2,18,1,1.0,1
1485,11,3.090200128201929,1,10,1,1.0,1
1486,11,3.090200128201929,1,10,1,1.0,1
1487,11,3.090200128201929,1,10,1,1.0,1
1492,71,8.167785363377918,2,18,1,1.0,1
1520,72,50.11293974011413,2,30,1,1.0,1
1522,12,0.7020777970072836,3,10,1,1.0,1
1523,12,0.7020777970072836,3,10,1,1.0,1
1525,12,2.375409437290879,2,10,1,1.0,1
1536,73,2.108181631193203,2,10,1,1.0,1
1537,73,2.4045013888724442,2,10,1,1.0,1
1538,73,2.250315971032799e-05,1,2,1,1.0,1
1554,74,28.87753413886303,2,26,1,1.0,1
1555,74,43.907449695993094,2,34,1,1.0,1
1581,71,1.0832341037064706,2,8,1,1.0,1
1603,12,3.4632728979919176,2,11,1,1.0,1
1608,12,3.21875748027338,3,13,1,1.0,1
1631,73,14.565908908771576,2,19,1,1.0,1
1642,30,40.595963810604,3,33,1,1.0,1
1643,30,29.342944617607923,3,28,1,1.0,1
1644,30,27.394475600620456,3,27,1,1.0,1
1645,30,11.38504470307955,1,14,1,1.0,1
1646,30,14.811812084879488,1,16,1,1.0,1
1647,30,34.95570563489858,1,25,1,1.0,1
1648,30,0,0,0,1,1.0,1
1650,30,32.436136523486496,2,27,1,1.0,1
1651,26,11.210928647414972,3,22,1,1.0,1
1652,26,9.912191423541465,3,21,1,1.0,1
1689,11,3.6654191785495973,2,11,1,1.0,1
1722,18,0.7320359577697474,1,6,1,1.0,1
1760,75,0.3621978848278546,2,6,1,1.0,1
1761,75,0.010083574193583276,2,5,1,1.0,1
1793,4,4.956365918416615,2,13,1,1.0,1
1811,76,4.413555163119371,1,11,1,1.0,1
1819,77,0,0,0,1,1.0,1
1845,31,0.16973634542171573,1,2,1,1.0,1
1846,31,0.16973634542171573,1,2,1,1.0,1
1867,30,5.024575093770932,1,9,1,1.0,1
1874,4,0.008372290069467861,1,2,1,1.0,1
1897,78,0,0,0,1,1.0,1
1902,10,7.465763906990261,2,14,1,1.0,1
1907,65,0,0,0,1,1.0,1
1930,63,0.12309748436654244,2,5,1,1.0,1
1944,11,9.141901274254238,1,14,1,1.0,1
1961,5,0.7758680117174432,1,4,1,1.0,1
1973,70,0.17110669521488617,1,2,1,1.0,1
1974,70,1.3559772772411647,1,5,1,1.0,1
1975,70,0.17110669521488617,1,2,1,1.0,1
1976,70,0.17110669521488617,1,2,1,1.0,1
1979,70,0.4593731224243718,1,3,1,1.0,1
1982,70,0.44881427078887026,1,3,1,1.0,1
1983,70,0.44881427078887026,1,3,1,1.0,1
2007,73,11.162628046937657,1,14,1,1.0,1
2008,73,11.319716197986018,2,16,1,1.0,1
2010,73,15.650472055391594,2,18,1,1.0,1
